entity_id	valid	rejected	polled	electors	UPFA	UNP	USP	JSP	ULPP	NLF	RPP	SLNF	ULF	DUA	SEP	SLPF	UNAF	__OTHER
EC-01	1114250	12879	1127129	1486021	534431	569627	2628	2057	2174	775	519	422	601	398	410	134	74	0
EC-01A	60111	939	61050	85967	14270	45161	270	112	101	59	17	20	39	27	27	5	3	0
EC-01B	100424	1616	102040	144916	20395	78908	448	189	117	71	28	37	93	69	37	20	12	0
EC-01C	41809	453	42262	60678	15644	25784	115	60	80	32	18	17	22	10	23	3	1	0
EC-01D	46206	694	46900	65732	16919	28832	102	66	159	33	11	15	24	13	23	4	5	0
EC-01E	25865	399	26264	38621	5104	20475	52	22	129	37	3	10	10	5	10	7	1	0
EC-01F	43077	369	43446	58728	18005	24660	67	57	158	34	19	13	20	15	19	5	5	0
EC-01G	49181	557	49738	66432	25004	23743	92	76	121	36	23	22	26	16	17	3	2	0
EC-01H	82028	892	82920	107725	40616	40744	178	166	117	47	36	27	34	19	24	13	7	0
EC-01I	54504	516	55020	73274	26987	27106	83	88	117	31	17	18	19	20	11	3	4	0
EC-01J	113805	1209	115014	148435	65829	47025	192	236	207	59	69	42	54	37	43	8	4	0
EC-01K	79098	865	79963	101065	41936	36227	281	209	114	88	51	33	66	31	36	16	10	0
EC-01L	108882	1035	109917	141974	64433	43477	242	206	184	68	62	64	55	44	25	19	3	0
EC-01M	90425	910	91335	119137	53681	36093	103	138	173	52	46	26	41	24	35	5	8	0
EC-01N	109602	1110	110712	140094	66660	42042	163	238	192	67	57	40	59	33	37	10	4	0
EC-01O	92089	975	93064	115759	48047	43207	232	192	143	52	57	33	38	34	37	13	4	0
EC-01P	17144	340	17484	17484	10901	6143	8	2	62	9	5	5	1	1	6	0	1	0
EC-02	1089277	11724	1101001	1390691	596698	481764	2790	2371	1983	856	631	570	609	418	343	157	87	0
EC-02A	73148	873	74021	94455	31446	40984	200	141	151	47	37	37	39	22	31	8	5	0
EC-02B	65802	799	66601	89361	24236	40805	252	141	92	75	37	34	46	42	25	16	1	0
EC-02C	90528	977	91505	114595	49095	40473	258	195	177	79	84	43	52	31	18	13	10	0
EC-02D	75100	680	75780	93677	39347	34945	217	179	115	79	46	48	51	36	15	15	7	0
EC-02E	82801	982	83783	107553	45537	36345	227	196	145	85	38	62	70	42	28	13	13	0
EC-02F	88220	947	89167	111211	49509	37801	259	179	162	74	42	38	59	36	29	22	10	0
EC-02G	86568	1090	87658	112898	52393	33171	252	214	208	83	63	48	40	37	35	16	8	0
EC-02H	97241	944	98185	124714	62018	34376	197	191	168	70	55	42	46	31	29	9	9	0
EC-02I	90362	973	91335	117040	46950	42606	196	167	175	54	51	45	56	19	29	11	3	0
EC-02J	95380	901	96281	122039	56759	37772	211	198	155	55	60	50	42	35	29	10	4	0
EC-02K	77055	669	77724	97143	45849	30306	227	238	129	61	51	56	52	39	28	11	8	0
EC-02L	78601	754	79355	99193	43249	34685	155	183	118	47	42	41	28	23	21	7	2	0
EC-02M	62387	708	63095	80301	33179	28676	130	142	101	37	23	20	26	23	20	5	5	0
EC-02P	26084	427	26511	26511	17131	8819	9	7	87	10	2	6	2	2	6	1	2	0
EC-03	615860	6517	622377	781175	341693	266043	2623	1921	865	614	468	422	424	339	215	165	68	0
EC-03A	79921	762	80683	101328	46097	33034	216	182	128	85	46	25	47	22	23	14	2	0
EC-03B	86291	870	87161	107308	50481	34749	341	279	105	63	52	59	72	40	21	23	6	0
EC-03C	80089	802	80891	100085	44801	34300	293	232	134	68	56	54	53	48	21	15	14	0
EC-03D	56179	644	56823	71080	29218	25918	371	251	85	81	46	66	36	40	28	30	9	0
EC-03E	71982	756	72738	93479	40006	30853	379	271	105	67	65	60	58	53	29	23	13	0
EC-03F	78930	808	79738	102020	45143	32916	237	222	91	63	76	48	43	36	37	13	5	0
EC-03G	75851	885	76736	99026	37402	37390	372	224	105	84	66	48	55	47	27	21	10	0
EC-03H	70081	656	70737	89979	37518	31449	408	254	81	91	57	57	56	52	24	26	8	0
EC-03P	16536	334	16870	16870	11027	5434	6	6	31	12	4	5	4	1	5	0	1	0
EC-04	712620	9817	722437	933754	315672	387150	2775	2589	1091	717	487	584	529	372	307	219	128	0
EC-04A	38269	382	38651	50898	17453	20177	177	200	48	49	25	42	43	20	15	12	8	0
EC-04B	104777	1432	106209	138171	43540	59899	390	322	147	91	72	77	84	62	33	39	21	0
EC-04C	53433	885	54318	71823	20610	31957	284	206	100	73	32	50	39	27	29	17	9	0
EC-04D	40934	564	41498	52747	19973	20269	186	207	55	68	36	46	33	28	14	9	10	0
EC-04E	32567	452	33019	41465	15367	16646	176	138	45	43	23	38	35	22	13	17	4	0
EC-04F	59372	746	60118	77020	27385	31321	204	169	83	33	40	35	26	24	28	20	4	0
