entity_id	valid	rejected	polled	electors	UNP	SLFP	JVP	ACTC	LSSP	NSSP	__OTHER
EC-01	754031	7990	762021	991194	436290	274476	28580	3022	9655	2008	0
EC-01A	42564	575	43139	57534	29380	10641	1645	477	361	60	0
EC-01B	93863	740	94603	127452	68346	22061	2121	810	415	110	0
EC-01C	33977	305	34282	47123	21383	10946	1058	132	395	63	0
EC-01D	35277	426	35703	48760	21367	11268	1352	320	828	142	0
EC-01E	28528	314	28842	40375	22115	4751	576	521	409	156	0
EC-01F	39076	406	39482	51622	23730	13194	1139	201	695	117	0
EC-01G	38084	415	38499	50269	21280	14111	1670	99	778	146	0
EC-01H	49118	545	49663	62523	25221	21153	2125	29	504	86	0
EC-01I	42341	374	42715	59048	25129	14814	1731	32	527	108	0
EC-01J	57297	719	58016	73006	27963	25275	3338	33	569	119	0
EC-01K	52329	551	52880	62628	26648	23481	1687	70	238	205	0
EC-01L	54102	548	54650	68955	27981	23135	2140	50	591	205	0
EC-01M	54525	593	55118	71597	26967	23874	2595	27	946	116	0
EC-01N	55407	530	55937	71002	25576	26553	2248	29	851	150	0
EC-01O	58782	707	59489	80297	32096	22744	2625	43	1137	137	0
EC-01P	18761	242	19003	19003	11108	6475	530	149	411	88	0
EC-02	696847	5992	702839	849896	365847	301808	23701	534	3835	1122	0
EC-02A	46916	425	47341	58015	29387	15717	1402	119	232	59	0
EC-02B	45200	412	45612	59884	30346	13345	1049	97	236	127	0
EC-02C	50361	437	50798	60560	26504	22027	1356	36	334	104	0
EC-02D	51306	432	51738	61494	25974	23447	1547	28	231	79	0
EC-02E	58030	478	58508	70695	30289	24143	3186	29	316	67	0
EC-02F	57870	399	58269	69566	29672	25849	1992	27	260	70	0
EC-02G	56321	430	56751	67061	22531	31495	1926	32	272	65	0
EC-02H	58789	517	59306	72371	27845	28532	1942	33	336	101	0
EC-02I	55709	488	56197	69624	32420	21074	1683	29	346	157	0
EC-02J	53778	418	54196	65660	25853	25580	1952	17	307	69	0
EC-02K	56088	519	56607	66207	26573	27508	1670	33	247	57	0
EC-02L	45623	410	46033	55457	25398	18539	1389	13	237	47	0
EC-02M	46372	480	46852	58671	24732	19050	2179	25	312	74	0
EC-02P	14484	147	14631	14631	8323	5502	428	16	169	46	0
EC-03	421892	5290	427182	508744	211592	185874	14499	443	8613	871	0
EC-03A	54512	677	55189	67549	26648	23861	2011	27	1776	189	0
EC-03B	54560	628	55188	65013	26631	25500	1583	35	730	81	0
EC-03C	52528	459	52987	61356	27056	23518	1361	48	359	186	0
EC-03D	43194	582	43776	51297	21486	20068	998	64	521	57	0
EC-03E	50545	741	51286	61809	24494	23154	2164	107	537	89	0
EC-03F	53323	612	53935	64944	26167	22992	2306	39	1707	112	0
EC-03G	52801	544	53345	64357	27951	22349	1812	39	608	42	0
EC-03H	51003	944	51947	62890	25681	21041	2043	80	2079	79	0
EC-03P	9426	103	9529	9529	5478	3391	221	4	296	36	0
EC-04	484297	4548	488845	574565	289621	178647	12493	562	2256	718	0
EC-04A	30888	214	31102	35940	17778	11874	1092	18	98	28	0
EC-04B	70224	605	70829	82590	43186	23301	3374	42	230	91	0
EC-04C	34862	382	35244	41888	22158	11783	669	37	161	54	0
EC-04D	28228	358	28586	31788	15284	12242	456	38	157	51	0
EC-04E	27012	267	27279	31145	13258	12747	821	56	100	30	0
EC-04F	34743	355	35098	41314	20421	12898	1138	60	180	46	0
EC-04G	33240	414	33654	38947	20296	12286	419	43	165	31	0
EC-04H	34269	277	34546	43442	20105	13219	621	32	199	93	0
EC-04I	22930	203	23133	29751	15729	6498	408	64	149	82	0
EC-04J	39590	325	39915	46731	20848	17596	964	15	131	36	0
EC-04K	36616	246	36862	43223	23440	12100	852	27	150	47	0
EC-04L	42541	394	42935	50563	26380	15340	528	60	188	45	0
EC-04M	39453	411	39864	47445	24586	13512	961	64	264	66	0
EC-04P	9701	97	9798	9798	6152	3251	190	6	84	18	0
EC-05	161814	1414	163228	189867	94031	59299	7169	253	866	196	0
EC-05A	52012	385	52397	60536	27368	21748	2501	46	309	40	0
EC-05B	30889	272	31161	35129	17354	12149	1158	39	155	34	0
EC-05C	35771	332	36103	43705	22452	11632	1400	85	153	49	0
EC-05D	40580	396	40976	47906	25183	12982	2033	82	239	61	0
EC-05P	2562	29	2591	2591	1674	788	77	1	10	12	0
EC-06	172769	2048	174817	203968	109017	57093	4569	558	1201	331	0
EC-06A	71006	950	71956	86487	49414	18543	1892	380	632	145	0
EC-06B	31565	320	31885	37124	18684	12036	616	51	146	32	0
EC-06C	34398	368	34766	39853	20672	12414	983	50	202	77	0
EC-06D	33723	397	34120	38414	18957	13391	1023	74	208	70	0
EC-06P	2077	13	2090	2090	1290	709	55	3	13	7	0
EC-07	421138	5198	426336	520909	211544	180925	20962	425	6391	891	0
EC-07A	28541	546	29087	37444	14949	9295	1178	14	3060	45	0
EC-07B	36881	474	37355	45086	17784	16225	2271	22	515	64	0
EC-07C	33084	367	33451	41355	17060	12732	3026	45	181	40	0
EC-07D	47978	686	48664	58596	23668	21805	2106	36	294	69	0
EC-07E	48821	605	49426	57075	27209	19649	1629	60	210	64	0
EC-07F	48560	540	49100	59040	22301	23689	1981	79	381	129	0
EC-07G	45025	748	45773	55193	20801	20798	2409	39	907	71	0
EC-07H	38015	389	38404	51574	23785	11508	2279	63	255	125	0
EC-07I	41780	389	42169	51073	20269	19623	1533	32	188	135	0
EC-07J	44126	361	44487	56053	18960	22600	2239	34	180	113	0
EC-07P	8327	93	8420	8420	4758	3001	311	1	220	36	0
EC-08	333983	3091	337074	406595	164725	144587	22117	474	1571	509	0
EC-08A	42845	428	43273	49817	22457	18147	1886	72	220	63	0
EC-08B	48201	420	48621	57203	22146	22984	2711	61	228	71	0
EC-08C	50261	421	50682	59798	24667	20389	4781	108	246	70	0
EC-08D	45614	437	46051	57400	20549	21408	3267	83	229	78	0
EC-08E	45583	457	46040	56693	22605	17757	4874	49	246	52	0
EC-08F	44866	408	45274	56252	23221	19333	2067	22	156	67	0
EC-08G	49975	451	50426	62725	25051	22282	2276	78	198	90	0
EC-08P	6638	69	6707	6707	4029	2287	255	1	48	18	0
EC-09	197278	1804	199082	244660	90545	76402	28835	275	877	344	0
EC-09A	44993	484	45477	57491	18964	19605	5966	97	247	114	0
EC-09B	45531	378	45909	56254	21056	18150	5957	63	227	78	0
EC-09C	49733	397	50130	58690	23196	17253	8966	57	183	78	0
EC-09D	54339	523	54862	69521	25656	20624	7724	58	212	65	0
EC-09P	2682	22	2704	2704	1673	770	222	0	8	9	0
EC-10	218003	10610	228613	498545	44775	77210	3098	87263	3376	2176	0
EC-10A	16187	943	17130	42563	4067	3393	119	8353	157	98	0
EC-10B	22103	1076	23179	46206	3700	7770	380	9741	257	255	0
EC-10C	20194	1078	21272	51681	3771	9523	341	6065	310	184	0
EC-10D	22330	1069	23399	48930	4463	9008	559	7514	483	298	0
EC-10E	23282	1023	24305	49577	3546	13678	379	4984	423	182	0
EC-10F	17001	816	17817	43990	2282	8155	208	5779	353	224	0
EC-10G	15469	585	16054	34859	3198	6348	189	5367	217	150	0
EC-10H	20247	1205	21452	44597	3629	6128	204	9742	419	125	0
EC-10I	18959	894	19853	49233	4831	4330	244	8979	332	243	0
EC-10J	19502	711	20213	42296	6419	3258	176	9319	134	186	0
EC-10K	18087	1012	19099	39773	3616	4188	188	9822	171	102	0
EC-10P	4642	198	4840	4840	1253	1431	111	1598	120	129	0
EC-11	70739	2447	73186	120235	32834	23221	2286	11521	584	293	0
EC-11A	27502	486	27988	40965	17008	8039	279	1891	174	111	0
EC-11B	25897	947	26844	43656	11720	9385	1764	2689	252	87	0
EC-11C	16241	971	17212	34472	3678	5471	204	6654	150	84	0
EC-11P	1099	43	1142	1142	428	326	39	287	8	11	0
EC-12	120076	2879	122955	174276	48094	21688	1287	47095	1294	618	0
