entity_id	valid	rejected	polled	electors	PA	UNP	SLMC	TULF	SLPF	MEP	IND1	TELO	IND2	DPLF	EPRLF	IND4	NSSP	TKLO	PFF	__OTHER
EC-01	921933	36635	958568	1260686	469642	385100	0	0	11454	42734	9251	0	0	0	0	0	2050	1113	0	589
EC-01A	44889	2593	47482	63528	18140	24522	0	0	268	399	1254	0	0	0	0	0	157	96	0	53
EC-01B	95710	5995	101705	139012	42060	50136	0	0	502	878	1526	0	0	0	0	0	319	130	0	159
EC-01C	36018	1524	37542	52007	16764	17076	0	0	414	1345	258	0	0	0	0	0	93	36	0	32
EC-01D	39933	1618	41551	57049	18211	17858	0	0	493	1615	1593	0	0	0	0	0	58	87	0	18
EC-01E	25425	821	26246	36915	8977	12983	0	0	90	462	2813	0	0	0	0	0	44	31	0	25
EC-01F	40235	1273	41508	55301	20882	16942	0	0	327	1145	813	0	0	0	0	0	71	44	0	11
EC-01G	44039	1652	45691	59749	25967	15860	0	0	666	1061	311	0	0	0	0	0	115	50	0	9
EC-01H	66593	2775	69368	90167	36939	26796	0	0	935	1646	42	0	0	0	0	0	138	71	0	26
EC-01I	52339	1485	53824	71213	28106	21215	0	0	742	1975	140	0	0	0	0	0	104	39	0	18
EC-01J	83792	3010	86802	113173	46899	30668	0	0	1541	4327	57	0	0	0	0	0	183	94	0	23
EC-01K	62134	2882	65016	81213	20782	28768	0	0	476	11846	46	0	0	0	0	0	95	73	0	48
EC-01L	74544	2938	77482	106536	40034	29566	0	0	1180	3409	31	0	0	0	0	0	169	106	0	49
EC-01M	74698	2082	76780	101317	41034	25269	0	0	1142	6932	51	0	0	0	0	0	152	89	0	29
EC-01N	83403	2932	86335	110948	49342	29585	0	0	1418	2709	33	0	0	0	0	0	165	105	0	46
EC-01O	74910	2701	77611	97831	41670	30360	0	0	992	1543	96	0	0	0	0	0	155	60	0	34
EC-01P	23271	354	23625	24727	13835	7496	0	0	268	1442	187	0	0	0	0	0	32	2	0	9
EC-02	896288	33553	929841	1167469	509030	375631	0	0	11627	0	0	0	0	0	0	0	0	0	0	0
EC-02A	64386	2627	67013	85516	32311	31482	0	0	593	0	0	0	0	0	0	0	0	0	0	0
EC-02B	57743	2566	60309	80589	28830	28624	0	0	289	0	0	0	0	0	0	0	0	0	0	0
EC-02C	70934	3044	73978	92027	40684	29617	0	0	633	0	0	0	0	0	0	0	0	0	0	0
EC-02D	62615	2228	64843	77104	32951	29141	0	0	523	0	0	0	0	0	0	0	0	0	0	0
EC-02E	69104	2739	71843	89455	37512	30492	0	0	1100	0	0	0	0	0	0	0	0	0	0	0
EC-02F	70192	2288	72480	89192	39893	29455	0	0	844	0	0	0	0	0	0	0	0	0	0	0
EC-02G	70747	2638	73385	91907	45629	24269	0	0	849	0	0	0	0	0	0	0	0	0	0	0
EC-02H	76295	2456	78751	100416	47822	27133	0	0	1340	0	0	0	0	0	0	0	0	0	0	0
EC-02I	73659	2567	76226	97305	40838	31851	0	0	970	0	0	0	0	0	0	0	0	0	0	0
EC-02J	73735	2685	76420	98091	43413	29173	0	0	1149	0	0	0	0	0	0	0	0	0	0	0
EC-02K	62990	2331	65321	80415	35849	26552	0	0	589	0	0	0	0	0	0	0	0	0	0	0
EC-02L	61304	2373	63677	80600	34719	25537	0	0	1048	0	0	0	0	0	0	0	0	0	0	0
EC-02M	57779	2271	60050	78191	32961	23504	0	0	1314	0	0	0	0	0	0	0	0	0	0	0
EC-02P	24805	740	25545	26661	15618	8801	0	0	386	0	0	0	0	0	0	0	0	0	0	0
