entity_id	valid	rejected	polled	electors	UPFA	UNP	DNA	ITAK	UPF	TMVP	SMBP	TULF	AITC	DPLF	SLNF	IG4B	EDF	EPDP	ONF	UNAF	ELPP	LLF	USP	IG4J	PERLF	IG2G	JSP	UDF	IG6B	IG8B	DUA	IG3J	IG6J	__OTHER
EC-01	938723	50354	989729	1542457	480896	339750	110683	0	0	0	35	834	0	0	924	0	0	0	373	292	1828	706	352	0	0	0	142	114	0	0	0	0	0	1101
EC-01A	50858	4495	55404	95385	15976	30825	3226	0	0	0	3	138	0	0	102	0	0	0	26	44	93	115	54	0	0	0	40	8	0	0	0	0	0	166
EC-01B	80593	6606	87297	139822	21794	51421	6243	0	0	0	1	90	0	0	24	0	0	0	28	51	302	142	70	0	0	0	20	19	0	0	0	0	0	168
EC-01C	34113	1998	36160	58757	13662	16421	3619	0	0	0	0	8	0	0	20	0	0	0	7	14	90	78	21	0	0	0	11	5	0	0	0	0	0	39
EC-01D	38978	2562	41558	68643	14662	19241	4608	0	0	0	3	176	0	0	20	0	0	0	7	10	82	38	38	0	0	0	2	4	0	0	0	0	0	48
EC-01E	20294	1283	21594	38921	5169	13056	1675	0	0	0	3	183	0	0	10	0	0	0	7	19	39	67	13	0	0	0	0	6	0	0	0	0	0	27
EC-01F	35855	1606	37474	61194	15472	15831	4256	0	0	0	2	94	0	0	7	0	0	0	11	11	53	48	13	0	0	0	15	5	0	0	0	0	0	31
EC-01G	40239	1990	42253	66622	19486	15384	5061	0	0	0	2	46	0	0	37	0	0	0	16	4	78	37	18	0	0	0	2	3	0	0	0	0	0	34
EC-01H	70548	3863	74446	112363	37782	23949	8371	0	0	0	5	6	0	0	50	0	0	0	28	20	173	16	15	0	0	0	7	4	0	0	0	0	0	77
EC-01I	46134	1877	48036	73009	22799	16374	6729	0	0	0	1	3	0	0	20	0	0	0	17	12	73	16	12	0	0	0	5	7	0	0	0	0	0	50
EC-01J	95197	4193	99450	158736	56539	23546	14460	0	0	0	2	9	0	0	231	0	0	0	43	18	188	21	14	0	0	0	9	8	0	0	0	0	0	91
EC-01K	64748	4225	69035	108138	42259	16730	5432	0	0	0	1	5	0	0	15	0	0	0	21	19	118	20	21	0	0	0	1	11	0	0	0	0	0	66
EC-01L	95255	4206	99517	155720	57951	26841	10103	0	0	0	3	7	0	0	42	0	0	0	41	24	121	19	9	0	0	0	2	7	0	0	0	0	0	52
EC-01M	75804	3014	78861	121247	44200	18937	12313	0	0	0	5	11	0	0	60	0	0	0	37	9	125	23	12	0	0	0	6	6	0	0	0	0	0	40
EC-01N	96117	4160	100339	148696	60139	21953	13532	0	0	0	1	16	0	0	82	0	0	0	39	11	180	26	17	0	0	0	7	5	0	0	0	0	0	88
EC-01O	74484	3725	78242	114601	40369	25356	8159	0	0	0	3	33	0	0	191	0	0	0	41	25	92	30	20	0	0	0	11	15	0	0	0	0	0	108
EC-01P	19506	551	20063	20603	12637	3885	2896	0	0	0	0	9	0	0	13	0	0	0	4	1	21	10	5	0	0	0	4	1	0	0	0	0	0	16
EC-02	929731	50234	980467	1506969	589476	266523	69747	0	0	0	0	0	0	0	625	0	0	0	0	229	0	0	0	0	0	1469	173	134	0	0	0	0	0	833
EC-02A	63425	4328	67784	103893	31444	26659	4929	0	0	0	0	0	0	0	87	0	0	0	0	24	0	0	0	0	0	166	9	8	0	0	0	0	0	65
EC-02B	54014	3711	57750	96028	26076	23987	3463	0	0	0	0	0	0	0	19	0	0	0	0	13	0	0	0	0	0	239	50	8	0	0	0	0	0	60
