entity_id	valid	rejected	polled	electors	UNP	UPFA	JVP	ITAK	SLMC	EPDP	ACMC	DP	BJP	AITC	CWC	FSP	UPP	PP	TULF	EDF	ONF	USP	JSP	AITM	IG0	__OTHER
EC-01	1207949	43372	1252271	1612984	640743	474063	81391	0	0	0	0	5238	2137	0	0	463	422	0	723	0	497	429	296	104	103	955
EC-01A	63114	4055	67248	89771	50571	10256	1647	0	0	0	0	121	45	0	0	23	49	0	162	0	17	64	3	17	5	53
EC-01B	94381	5332	99809	131482	79968	11489	2109	0	0	0	0	209	68	0	0	9	63	0	86	0	19	78	25	21	13	135
EC-01C	43702	1902	45638	60109	28968	11842	2282	0	0	0	0	284	100	0	0	9	23	0	23	0	13	31	26	4	10	33
EC-01D	48001	2043	50099	66941	31450	12917	2960	0	0	0	0	238	169	0	0	21	23	0	99	0	11	21	14	6	14	32
EC-01E	27467	1237	28775	40609	22060	4204	875	0	0	0	0	71	36	0	0	3	11	0	112	0	4	10	3	5	11	46
EC-01F	44254	1330	45619	59812	28153	13273	2366	0	0	0	0	204	94	0	0	19	16	0	44	0	16	13	5	6	2	40
EC-01G	49351	1634	51028	66793	26412	19203	3217	0	0	0	0	214	138	0	0	24	16	0	17	0	25	16	1	2	3	57
EC-01H	91485	3283	94859	120617	49196	35300	6159	0	0	0	0	293	229	0	0	26	31	0	58	0	30	39	30	9	5	58
EC-01I	55796	1457	57300	74934	30247	20797	4075	0	0	0	0	327	147	0	0	16	21	0	8	0	23	20	25	5	20	40
EC-01J	131389	3536	135029	173355	56154	62136	11971	0	0	0	0	564	199	0	0	46	41	0	16	0	63	31	52	6	3	83
EC-01K	86860	4044	90952	117472	39106	42895	4346	0	0	0	0	172	86	0	0	56	28	0	28	0	50	22	12	5	3	46
EC-01L	130689	4026	134766	174909	52336	66450	10719	0	0	0	0	678	207	0	0	41	31	0	1	0	71	20	24	7	3	97
EC-01M	98483	2492	101040	129801	41374	47049	9001	0	0	0	0	584	207	0	0	72	21	0	6	0	42	10	31	3	2	67
EC-01N	127183	3452	130692	164774	49637	65243	11193	0	0	0	0	580	224	0	0	59	19	0	7	0	71	31	24	3	5	78
EC-01O	89976	2990	93031	115219	43665	40142	5384	0	0	0	0	420	134	0	0	17	20	0	36	0	39	19	17	3	3	73
EC-01P	25818	559	26386	26386	11446	10867	3087	0	0	0	0	279	54	0	0	22	9	0	20	0	3	4	4	2	1	17
EC-02	1223174	56246	1280647	1678383	577004	549958	87880	0	0	0	0	4706	1664	0	0	693	415	0	0	0	0	0	185	0	33	572
EC-02A	87427	4392	91910	120471	51011	30743	5141	0	0	0	0	315	77	0	0	55	41	0	0	0	0	0	6	0	3	30
EC-02B	71695	4191	75962	106213	48517	18928	3902	0	0	0	0	221	14	0	0	35	37	0	0	0	0	0	5	0	1	32
EC-02C	103167	5522	108802	143885	50393	45582	6662	0	0	0	0	297	102	0	0	41	31	0	0	0	0	0	17	0	2	35
EC-02D	78454	3707	82203	108529	35725	38471	3951	0	0	0	0	120	76	0	0	49	21	0	0	0	0	0	7	0	4	26
EC-02E	87554	3997	91662	124679	39794	41014	6255	0	0	0	0	248	106	0	0	25	38	0	0	0	0	0	32	0	3	31
EC-02F	97236	4667	102001	132981	43373	45898	7400	0	0	0	0	291	146	0	0	37	22	0	0	0	0	0	10	0	3	52
EC-02G	94856	4880	99885	133023	42371	44926	6973	0	0	0	0	327	132	0	0	39	30	0	0	0	0	0	5	0	1	45
EC-02H	106979	4457	111569	147280	42585	53901	9754	0	0	0	0	356	154	0	0	111	30	0	0	0	0	0	19	0	7	54
EC-02I	103842	4283	108301	143843	51807	43051	8333	0	0	0	0	419	104	0	0	24	34	0	0	0	0	0	17	0	3	46
EC-02J	109390	4646	114112	149453	45446	54362	8603	0	0	0	0	603	194	0	0	104	31	0	0	0	0	0	9	0	2	32
EC-02K	85490	3717	89256	115356	35390	44925	4557	0	0	0	0	317	103	0	0	30	32	0	0	0	0	0	11	0	0	119
EC-02L	91562	3737	95356	121702	41232	42759	6742	0	0	0	0	444	212	0	0	82	38	0	0	0	0	0	16	0	2	32
EC-02M	65718	3024	68782	90122	31501	28323	5206	0	0	0	0	427	169	0	0	31	21	0	0	0	0	0	22	0	1	16
EC-02P	39804	1026	40846	40846	17859	17075	4401	0	0	0	0	321	75	0	0	30	9	0	0	0	0	0	9	0	1	22
EC-03	697461	21366	719001	925355	310234	338801	38475	0	0	0	0	1796	5727	0	0	750	282	0	0	0	349	324	70	0	77	322
EC-03A	87523	2232	89773	114828	39190	40809	6253	0	0	0	0	477	520	0	0	101	33	0	0	0	35	37	11	0	3	31
EC-03B	102681	2734	105433	133887	42069	53314	6180	0	0	0	0	340	455	0	0	130	32	0	0	0	61	27	12	0	18	20
EC-03C	92181	2760	94960	122511	36325	50024	5037	0	0	0	0	166	290	0	0	72	52	0	0	0	51	33	9	0	26	59
EC-03D	60486	2340	62853	82123	26254	31612	2052	0	0	0	0	121	219	0	0	55	32	0	0	0	35	35	5	0	3	35
EC-03E	78905	2978	81905	108996	35267	38114	4087	0	0	0	0	159	953	0	0	78	35	0	0	0	35	73	7	0	5	48
EC-03F	87290	2425	89730	117931	39525	40837	5775	0	0	0	0	217	652	0	0	110	33	0	0	0	44	30	7	0	8	28
EC-03G	87323	2782	90122	117033	47987	33142	3670	0	0	0	0	102	2119	0	0	85	26	0	0	0	40	52	10	0	7	47
EC-03H	73492	2691	76219	100040	31731	38125	2860	0	0	0	0	109	388	0	0	81	29	0	0	0	44	31	6	0	7	46
EC-03P	27580	424	28006	28006	11886	12824	2561	0	0	0	0	105	131	0	0	38	10	0	0	0	4	6	3	0	0	8
