entity_id	valid	rejected	polled	electors	UNP	SLFP	SLMP	__OTHER
EC-01	735315	11295	746610	1105583	361337	339958	34020	0
EC-01A	35392	647	36039	54149	22389	10744	2259	0
EC-01B	89399	1572	90971	133920	58795	26083	4521	0
EC-01C	31237	499	31736	47917	16452	13083	1702	0
EC-01D	32255	666	32921	51225	16480	13477	2298	0
EC-01E	23523	342	23865	37220	14670	7473	1380	0
EC-01F	36632	520	37152	52969	18326	16599	1707	0
EC-01G	38500	584	39084	55248	18409	18308	1783	0
EC-01H	51356	849	52205	75650	23895	25050	2411	0
EC-01I	43604	563	44167	67194	18834	22607	2163	0
EC-01J	55580	806	56386	87693	22872	30600	2108	0
EC-01K	49212	570	49782	68892	24292	23721	1199	0
EC-01L	50110	679	50789	86987	20810	27570	1730	0
EC-01M	54426	779	55205	83598	20770	31396	2260	0
EC-01N	62961	879	63840	89277	25549	35184	2228	0
EC-01O	64688	977	65665	96841	31546	29654	3488	0
EC-01P	16440	363	16803	16803	7248	8409	783	0
EC-02	728112	10108	738220	985206	350092	355553	22467	0
EC-02A	49207	666	49873	68477	27945	19361	1901	0
EC-02B	47337	587	47924	68250	29016	16601	1720	0
EC-02C	56175	822	56997	76452	28760	25379	2036	0
EC-02D	52704	742	53446	68377	25792	25857	1055	0
EC-02E	55621	860	56481	78953	26835	27712	1074	0
EC-02F	60579	825	61404	78056	29424	29751	1404	0
EC-02G	59475	735	60210	79172	22242	35758	1475	0
EC-02H	62127	721	62848	85424	25948	34340	1839	0
EC-02I	57144	1052	58196	81566	30021	25357	1766	0
EC-02J	58736	735	59471	79936	26024	30305	2407	0
EC-02K	57960	511	58471	72945	26155	30829	976	0
EC-02L	49081	685	49766	66166	23930	23633	1518	0
EC-02M	46972	690	47662	65961	21395	22877	2700	0
EC-02P	14994	477	15471	15471	6605	7793	596	0
EC-03	362646	6537	369183	575008	169510	179761	13375	0
EC-03A	54615	799	55414	78330	22701	28366	3548	0
EC-03B	55224	871	56095	73585	26066	26897	2261	0
EC-03C	49323	632	49955	69405	23868	24116	1339	0
EC-03D	37939	880	38819	58030	18705	18491	743	0
EC-03E	38661	716	39377	70457	17917	19908	836	0
EC-03F	47535	1161	48696	75912	22551	22425	2559	0
EC-03G	43401	700	44101	73408	20529	21920	952	0
EC-03H	31315	521	31836	70991	15155	15255	905	0
EC-03P	4633	257	4890	4890	2018	2383	232	0
EC-04	426577	6167	432744	633030	234124	186187	6266	0
EC-04A	27950	263	28213	39671	15071	12549	330	0
EC-04B	57021	962	57983	94109	30708	25594	719	0
EC-04C	36546	611	37157	48741	20902	15087	557	0
EC-04D	24822	386	25208	37345	12032	12466	324	0
EC-04E	19576	339	19915	27659	9912	9417	247	0
EC-04F	27782	407	28189	48841	15231	12118	433	0
EC-04G	34001	373	34374	42868	19688	14015	298	0
EC-04H	32349	395	32744	48208	16825	14690	834	0
EC-04I	18877	297	19174	28958	11301	6959	617	0
EC-04J	30692	362	31054	52182	14478	15699	515	0
EC-04K	27317	550	27867	50223	16582	10420	315	0
EC-04L	44194	517	44711	55425	24800	18976	418	0
EC-04M	40844	521	41365	54010	24203	16082	559	0
EC-04P	4606	184	4790	4790	2391	2115	100	0
EC-05	63967	1110	65077	215999	37007	25825	1135	0
EC-05A	7608	102	7710	72515	4276	3195	137	0
EC-05B	18179	198	18377	41110	9055	8908	216	0
EC-05C	19870	463	20333	48841	12544	6889	437	0
EC-05D	17299	297	17596	52472	10599	6380	320	0
EC-05P	1011	50	1061	1061	533	453	25	0
EC-06	180413	3320	183733	231278	112135	64907	3371	0
EC-06A	77152	1771	78923	101765	52653	22209	2290	0
EC-06B	31643	401	32044	39194	17822	13549	272	0
EC-06C	37129	576	37705	44596	22748	14011	370	0
EC-06D	33022	530	33552	44214	18099	14519	404	0
EC-06P	1467	42	1509	1509	813	619	35	0
EC-07	279944	4461	284405	576390	124912	148615	6417	0
EC-07A	8922	162	9084	41220	5093	3475	354	0
EC-07B	6960	150	7110	49885	3282	3444	234	0
EC-07C	10102	151	10253	47887	4210	5703	189	0
EC-07D	21327	299	21626	65597	8789	12057	481	0
EC-07E	45170	745	45915	65310	22029	22347	794	0
EC-07F	48370	793	49163	65351	20368	27061	941	0
EC-07G	25872	456	26328	60877	11539	13290	1043	0
EC-07H	37528	633	38161	56083	19227	17432	869	0
EC-07I	40406	368	40774	57724	16865	22877	664	0
EC-07J	30466	438	30904	61369	11500	18329	637	0
EC-07P	4821	266	5087	5087	2010	2600	211	0
EC-08	105745	2003	107748	452637	45399	57424	2922	0
EC-08A	21660	378	22038	58342	10157	10949	554	0
EC-08B	2862	51	2913	65407	1327	1494	41	0
EC-08C	9163	277	9440	67076	5346	3505	312	0
EC-08D	4650	89	4739	63590	1256	3228	166	0
EC-08E	9667	104	9771	62490	5076	4403	188	0
EC-08F	30422	497	30919	64438	11606	17718	1098	0
EC-08G	26685	540	27225	70591	10351	15802	532	0
EC-08P	636	67	703	703	280	325	31	0
EC-09	83019	3855	86874	295536	41198	39343	2478	0
EC-09A	12074	663	12737	66740	5952	5740	382	0
EC-09B	12852	491	13343	62773	6793	5733	326	0
EC-09C	16887	1007	17894	70422	8292	8026	569	0
EC-09D	40877	1667	42544	95245	20020	19665	1192	0
EC-09P	329	27	356	356	141	179	9	0
EC-10	120045	8517	128562	551713	33650	44197	42198	0
EC-10A	12395	596	12991	49481	4628	3264	4503	0
EC-10B	16056	2397	18453	18453	4309	6495	5252	0
EC-10C	9321	451	9772	60386	2364	3117	3840	0
EC-10D	12586	891	13477	58320	4006	3491	5089	0
EC-10E	12651	733	13384	56450	2493	5833	4325	0
