entity_id	valid	rejected	polled	electors	UNP	SLFP	SLMC	TULF	INDI	USA	MEP	ELJP	IND 1	DPLF	USP	IND	ACTC	IND 2	USF	IND1	IND2	__OTHER
EC-01	724842	35271	760113	1087891	374530	205053	29308	0	0	31873	76966	7112	0	0	0	0	0	0	0	0	0	0
EC-01A	33180	2460	35640	53356	22052	5691	2786	0	0	1680	732	239	0	0	0	0	0	0	0	0	0	0
EC-01B	87398	6126	93524	131624	49733	11861	19874	0	0	4399	1326	205	0	0	0	0	0	0	0	0	0	0
EC-01C	30688	1501	32189	47174	17324	8721	1604	0	0	1745	1040	254	0	0	0	0	0	0	0	0	0	0
EC-01D	31707	1439	33146	49993	17908	8654	680	0	0	2482	1620	363	0	0	0	0	0	0	0	0	0	0
EC-01E	23042	949	23991	36820	15265	4100	1259	0	0	1502	669	247	0	0	0	0	0	0	0	0	0	0
EC-01F	36000	1351	37351	52176	19768	12193	790	0	0	1341	1724	184	0	0	0	0	0	0	0	0	0	0
EC-01G	37839	1602	39441	54316	21237	13063	415	0	0	1500	1407	217	0	0	0	0	0	0	0	0	0	0
EC-01H	49530	2477	52007	74671	24561	18531	662	0	0	2917	2698	161	0	0	0	0	0	0	0	0	0	0
EC-01I	42861	1507	44368	65984	20113	17007	284	0	0	2041	3030	386	0	0	0	0	0	0	0	0	0	0
EC-01J	56848	2473	59321	86029	25849	21306	117	0	0	1850	7241	485	0	0	0	0	0	0	0	0	0	0
EC-01K	49681	2500	52181	67851	23462	4131	168	0	0	523	20225	1172	0	0	0	0	0	0	0	0	0	0
EC-01L	50954	3068	54022	82139	24795	14872	81	0	0	1440	7920	1846	0	0	0	0	0	0	0	0	0	0
EC-01M	54783	2138	56921	81774	22042	11002	158	0	0	1758	19152	671	0	0	0	0	0	0	0	0	0	0
EC-01N	59825	2710	62535	87609	27415	25830	73	0	0	1890	4351	266	0	0	0	0	0	0	0	0	0	0
EC-01O	61308	2463	63771	95786	33090	22024	301	0	0	3796	1859	238	0	0	0	0	0	0	0	0	0	0
EC-01P	19198	507	19705	20589	9916	6067	56	0	0	1009	1972	178	0	0	0	0	0	0	0	0	0	0
