entity_id	valid	rejected	polled	electors	UNP	PA	JVP	TULF	SLMC	EPDP	SU	NLF	DPLF	IND9	USP	IND4	NDP	DLF	IND3	ULF	IND7	INDP	ESMS	MULF	IND1	IND5	SMBP	JSP	PFF	IND2	LP	RJP	DUNF	IND6	__OTHER
EC-01	1058481	40901	1099382	1458130	546417	353401	117404	12696	0	647	16970	3457	0	0	1503	78	0	3322	43	1101	0	0	0	0	77	0	490	138	0	102	0	65	0	0	570
EC-01A	59448	3352	62800	86842	41052	11792	3098	2483	0	62	342	184	0	0	142	5	0	138	3	76	0	0	0	0	3	0	7	6	0	8	0	2	0	0	45
EC-01B	106970	5700	112670	159417	80318	19149	3883	1649	0	77	731	308	0	0	315	12	0	178	10	212	0	0	0	0	3	0	20	9	0	7	0	6	0	0	83
EC-01C	41388	1598	42986	61373	24349	12710	2872	244	0	19	785	135	0	0	64	3	0	85	1	57	0	0	0	0	3	0	22	4	0	1	0	3	0	0	31
EC-01D	45745	1855	47600	66736	26636	11807	3613	2075	0	88	962	142	0	0	101	8	0	203	3	39	0	0	0	0	6	0	26	8	0	2	0	5	0	0	21
EC-01E	27289	959	28248	41908	18020	4053	926	3499	0	58	396	83	0	0	43	6	0	129	3	32	0	0	0	0	2	0	9	2	0	4	0	2	0	0	22
EC-01F	43556	1448	45004	61222	24219	12686	3786	1434	0	28	944	121	0	0	38	3	0	193	3	32	0	0	0	0	2	0	29	8	0	7	0	3	0	0	20
EC-01G	48614	1664	50278	67911	23432	17344	5750	571	0	24	1014	180	0	0	52	3	0	132	2	36	0	0	0	0	1	0	33	9	0	3	0	1	0	0	27
EC-01H	76414	2761	79175	102676	37256	28465	8869	41	0	33	1001	236	0	0	120	9	0	182	2	76	0	0	0	0	8	0	55	7	0	5	0	3	0	0	46
EC-01I	53884	1698	55582	74140	27717	18573	5275	73	0	15	1694	155	0	0	46	1	0	202	0	40	0	0	0	0	3	0	32	11	0	8	0	4	0	0	35
EC-01J	101712	3218	104930	135550	43330	39238	16602	22	0	35	1541	284	0	0	117	4	0	302	5	95	0	0	0	0	11	0	43	19	0	14	0	5	0	0	45
EC-01K	70565	3324	73889	93630	32784	29176	7121	11	0	54	515	335	0	0	93	6	0	271	2	98	0	0	0	0	6	0	35	14	0	11	0	6	0	0	27
EC-01L	93806	3725	97531	127422	39943	37389	14159	5	0	45	1229	385	0	0	92	4	0	347	2	102	0	0	0	0	5	0	37	9	0	8	0	6	0	0	39
EC-01M	84500	2608	87108	114854	35932	32800	12776	38	0	37	2106	272	0	0	67	5	0	298	1	54	0	0	0	0	5	0	44	8	0	9	0	6	0	0	42
EC-01N	99339	3356	102695	131571	42260	37815	16045	10	0	25	2170	355	0	0	97	3	0	360	2	73	0	0	0	0	8	0	50	11	0	8	0	8	0	0	39
EC-01O	88144	3294	91438	115430	42150	33627	9932	450	0	40	1161	255	0	0	111	5	0	227	3	72	0	0	0	0	10	0	36	12	0	5	0	5	0	0	43
EC-01P	17107	341	17448	17448	7019	6777	2697	91	0	7	379	27	0	0	5	1	0	75	1	7	0	0	0	0	1	0	12	1	0	2	0	0	0	0	5
EC-02	995230	38187	1033417	1306688	437289	428780	113990	0	0	0	8105	3488	0	0	736	113	0	0	136	623	0	0	226	0	100	194	389	0	0	107	0	334	0	317	303
EC-02A	69849	2791	72640	92154	37592	24651	6641	0	0	0	513	220	0	0	62	4	0	0	5	39	0	0	34	0	8	7	17	0	0	5	0	15	0	14	22
EC-02B	62373	3044	65417	85784	35678	21811	4141	0	0	0	265	262	0	0	56	11	0	0	6	40	0	0	7	0	6	12	15	0	0	7	0	18	0	18	20
EC-02C	83089	3158	86247	106508	35075	39498	7388	0	0	0	548	296	0	0	60	14	0	0	12	53	0	0	16	0	10	18	16	0	0	6	0	25	0	30	24
EC-02D	67593	2672	70265	87050	31434	29656	5817	0	0	0	303	196	0	0	40	4	0	0	8	33	0	0	14	0	6	11	12	0	0	4	0	19	0	25	11
EC-02E	75646	3330	78976	100833	33405	31014	10143	0	0	0	462	284	0	0	73	9	0	0	15	62	0	0	7	0	10	24	38	0	0	11	0	33	0	25	31
EC-02F	77904	2906	80810	103461	32726	34348	9627	0	0	0	633	267	0	0	61	11	0	0	6	65	0	0	11	0	8	14	44	0	0	3	0	24	0	24	32
EC-02G	79816	3490	83306	106025	29618	39531	9351	0	0	0	694	330	0	0	47	10	0	0	24	46	0	0	22	0	4	15	37	0	0	8	0	42	0	24	13
EC-02H	88452	2909	91361	116768	32479	41519	12791	0	0	0	1090	315	0	0	41	10	0	0	8	41	0	0	18	0	7	18	39	0	0	11	0	23	0	20	22
EC-02I	83870	2524	86394	109799	38219	34522	9856	0	0	0	708	282	0	0	58	9	0	0	9	56	0	0	13	0	8	14	21	0	0	10	0	26	0	30	29
EC-02J	85123	3158	88281	113172	34904	37499	11262	0	0	0	831	303	0	0	66	6	0	0	7	41	0	0	21	0	14	17	39	0	0	12	0	35	0	40	26
EC-02K	70375	2569	72944	91467	28707	33199	7558	0	0	0	337	291	0	0	45	10	0	0	16	62	0	0	17	0	7	19	22	0	0	10	0	18	0	32	25
EC-02L	71381	2617	73998	93735	32882	28778	8665	0	0	0	549	220	0	0	78	8	0	0	11	47	0	0	7	0	7	14	28	0	0	9	0	36	0	23	19
EC-02M	59531	2532	62063	79217	27174	23419	7589	0	0	0	932	175	0	0	41	4	0	0	8	35	0	0	34	0	3	11	40	0	0	9	0	18	0	12	27
EC-02P	20228	487	20715	20715	7396	9335	3161	0	0	0	240	47	0	0	8	3	0	0	1	3	0	0	5	0	2	0	21	0	0	2	0	2	0	0	2
EC-03	553619	32617	586236	731309	254339	226468	60451	0	0	0	5103	2369	0	0	2162	59	0	0	43	0	178	0	0	1693	49	99	204	129	0	70	0	55	0	95	53
EC-03A	72960	3655	76615	96487	32013	29288	9435	0	0	0	1367	290	0	0	230	2	0	0	4	0	16	0	0	189	11	10	54	12	0	6	0	9	0	13	11
EC-03B	76555	3912	80467	98871	33272	32966	8544	0	0	0	845	326	0	0	255	6	0	0	4	0	15	0	0	220	1	3	43	20	0	8	0	5	0	14	8
EC-03C	71638	3779	75417	91968	31462	31788	7013	0	0	0	476	346	0	0	215	12	0	0	5	0	26	0	0	201	3	12	28	12	0	10	0	8	0	16	5
EC-03D	50446	3730	54176	67795	24592	20909	3976	0	0	0	215	201	0	0	242	3	0	0	5	0	37	0	0	200	6	8	7	13	0	4	0	6	0	15	7
EC-03E	64186	4472	68658	88182	29290	25761	7697	0	0	0	552	283	0	0	271	7	0	0	4	0	16	0	0	212	11	18	12	22	0	6	0	6	0	12	6
EC-03F	71405	3911	75316	95698	32344	28693	8768	0	0	0	736	263	0	0	291	7	0	0	6	0	24	0	0	186	4	11	26	15	0	14	0	5	0	6	6
EC-03G	70430	3903	74333	92658	36709	25641	6581	0	0	0	455	321	0	0	358	8	0	0	9	0	14	0	0	260	4	14	6	17	0	11	0	9	0	9	4
EC-03H	62746	4963	67709	86105	29734	25147	6599	0	0	0	297	318	0	0	292	11	0	0	6	0	29	0	0	216	9	22	23	16	0	9	0	3	0	10	5
EC-03P	13253	292	13545	13545	4923	6275	1838	0	0	0	160	21	0	0	8	3	0	0	0	0	1	0	0	9	0	1	5	2	0	2	0	4	0	0	1
EC-04	595576	42103	637679	859326	314297	233637	37146	0	0	0	4040	3905	0	0	0	77	0	0	64	0	0	0	568	641	105	44	190	253	212	141	0	62	0	98	96
EC-04A	34060	2032	36092	48642	18180	13721	1688	0	0	0	119	214	0	0	0	2	0	0	4	0	0	0	32	50	6	4	8	3	10	6	0	2	0	6	5
EC-04B	90869	6813	97682	126815	53249	28636	7496	0	0	0	595	503	0	0	0	11	0	0	15	0	0	0	83	128	14	10	22	17	28	19	0	16	0	15	12
EC-04C	42052	3069	45121	67327	19461	19911	2071	0	0	0	187	270	0	0	0	5	0	0	1	0	0	0	50	40	10	4	5	6	7	8	0	2	0	9	5
EC-04D	33806	3946	37752	49524	17477	14110	1695	0	0	0	55	290	0	0	0	3	0	0	7	0	0	0	62	33	12	3	4	12	23	3	0	1	0	7	9
EC-04E	27234	2780	30014	37897	13792	11276	1697	0	0	0	59	268	0	0	0	3	0	0	5	0	0	0	46	42	3	0	4	13	12	3	0	4	0	4	3
EC-04F	49887	3413	53300	70383	26815	18908	3355	0	0	0	331	282	0	0	0	10	0	0	3	0	0	0	38	42	9	2	22	18	10	21	0	4	0	10	7
EC-04G	25804	2230	28034	57850	14055	10371	996	0	0	0	72	192	0	0	0	2	0	0	5	0	0	0	30	30	3	3	4	14	8	5	0	1	0	8	5
EC-04H	44745	2252	46997	61677	25140	15289	3254	0	0	0	653	219	0	0	0	5	0	0	3	0	0	0	24	35	6	1	29	34	10	29	0	2	0	6	6
EC-04I	25538	1152	26690	35351	16764	6489	1551	0	0	0	551	89	0	0	0	3	0	0	1	0	0	0	12	13	3	1	14	22	5	14	0	0	0	4	2
