entity_id	valid	rejected	polled	electors	PA	UNP	Ind 2	SMBP	Ind 1	SLPF	__OTHER
EC-01	860386	16060	876446	1259484	557708	288741	2526	6059	3533	1819	0
EC-01A	42608	947	43555	63528	26250	15924	138	118	103	75	0
EC-01B	90999	2020	93019	139012	56219	33824	271	245	291	149	0
EC-01C	34512	617	35129	52007	20837	13162	96	236	124	57	0
EC-01D	37415	843	38258	57049	23867	12806	115	373	182	72	0
EC-01E	23332	460	23792	36915	14329	8557	68	179	180	19	0
EC-01F	37470	614	38084	55301	23977	12783	111	326	195	78	0
EC-01G	41519	887	42406	59749	28666	12275	83	273	151	71	0
EC-01H	62498	1120	63618	90167	40296	21313	202	330	201	156	0
EC-01I	48945	762	49707	71213	31646	16331	118	521	232	97	0
EC-01J	76917	1445	78362	113173	51876	23475	241	599	521	205	0
EC-01K	55728	1313	57041	81213	31132	23126	290	787	230	163	0
EC-01L	68619	1102	69721	106536	45072	22369	279	444	284	171	0
EC-01M	68521	1328	69849	101317	47818	19514	158	638	240	153	0
EC-01N	77578	1159	78737	110948	54327	22130	210	464	268	179	0
EC-01O	70655	988	71643	97831	45403	24493	127	280	234	118	0
EC-01P	23070	455	23525	23525	15993	6659	19	246	97	56	0
EC-02	850518	13137	863655	1164625	550654	288608	3019	3694	2711	1832	0
EC-02A	61720	922	62642	85516	37373	23671	180	183	214	99	0
EC-02B	54348	761	55109	80589	31648	22131	184	133	172	80	0
EC-02C	68303	864	69167	92027	42916	24637	251	184	187	128	0
EC-02D	59637	832	60469	77104	35220	23749	235	169	149	115	0
EC-02E	63821	1446	65267	89455	40288	22585	248	270	208	222	0
EC-02F	65785	892	66677	89192	42041	22839	252	299	233	121	0
EC-02G	70511	1065	71576	91907	51923	17437	396	374	206	175	0
EC-02H	72302	958	73260	100416	51197	20094	215	403	246	147	0
EC-02I	69230	1141	70371	97305	44166	24260	152	266	236	150	0
EC-02J	69414	1064	70478	98091	46494	21935	251	311	235	188	0
EC-02K	59850	867	60717	80415	39151	19920	283	228	152	116	0
EC-02L	57040	930	57970	80600	36459	19678	201	340	235	127	0
EC-02M	55215	920	56135	78191	35601	18825	151	344	187	107	0
EC-02P	23342	475	23817	23817	16177	6847	20	190	51	57	0
EC-03	481019	7309	488328	660191	295686	178466	2213	1868	1398	1388	0
EC-03A	63848	922	64770	89554	42951	20032	166	340	198	161	0
EC-03B	65100	929	66029	86676	40503	23655	315	263	187	177	0
EC-03C	58922	932	59854	77877	36064	21886	351	262	212	147	0
EC-03D	47895	772	48667	63131	27072	20094	281	172	131	145	0
EC-03E	55250	1045	56295	80135	33726	20667	286	202	168	201	0
EC-03F	60493	929	61422	86437	37490	22209	237	226	170	161	0
EC-03G	60500	660	61160	83849	36364	23487	246	115	135	153	0
EC-03H	55246	893	56139	78540	32467	21903	322	190	163	201	0
