entity_id	valid	rejected	polled	electors	PA	UNP	JVP	SMBP	Ind 2	Liberal	LDA	Ind 1	SLMP	PLSF	Ind 3	DUNF	PFF	__OTHER
EC-01	964534	29197	993731	1354025	474310	425185	44009	8209	1319	1376	5000	1370	1980	783	355	329	309	0
EC-01A	53167	1409	54576	77447	18114	32714	1281	115	95	94	408	86	163	46	26	14	11	0
EC-01B	98535	2605	101140	143993	35416	59234	1955	272	178	137	424	104	630	82	53	26	24	0
EC-01C	38213	1058	39271	55338	17023	19151	1289	275	57	57	148	42	119	23	13	5	11	0
EC-01D	42770	1388	44158	64386	17777	22281	1486	410	61	89	419	59	109	34	19	16	10	0
EC-01E	25298	896	26194	40908	7327	16531	406	210	17	99	539	36	92	13	15	7	6	0
EC-01F	40194	1446	41640	58407	18683	19126	1346	412	33	78	324	44	86	17	9	20	16	0
EC-01G	43964	1500	45464	63466	22868	17572	2514	485	42	55	203	60	94	36	10	18	7	0
EC-01H	70133	1819	71952	96164	36907	28681	3385	468	97	93	188	113	107	42	23	16	13	0
EC-01I	49636	1675	51311	70424	24782	21455	2075	763	37	87	231	83	47	41	10	10	15	0
EC-01J	91490	2530	94020	126119	50535	32951	6170	916	102	101	338	112	91	79	32	34	29	0
EC-01K	65182	1495	66677	87913	33957	26903	2976	334	158	123	300	113	109	91	41	30	47	0
EC-01L	84123	2383	86506	116577	46823	30859	4878	662	140	102	267	129	91	69	32	34	37	0
EC-01M	77081	2876	79957	108622	43584	27338	4168	1119	98	82	340	117	78	68	31	25	33	0
EC-01N	89623	2967	92590	121836	51240	31302	5236	940	105	101	346	134	71	70	20	32	26	0
EC-01O	79327	2006	81333	105483	41380	33017	3692	431	96	72	288	127	76	70	20	38	20	0
EC-01P	15798	1144	16942	16942	7894	6070	1152	397	3	6	237	11	17	2	1	4	4	0
EC-02	941619	20768	962387	1247860	532796	353969	40472	4753	1495	1165	2102	1549	1354	878	420	386	280	0
EC-02A	66512	1541	68053	88377	32954	30566	2127	184	83	72	279	74	60	47	22	27	17	0
EC-02B	58822	1181	60003	83508	28515	28156	1360	106	92	74	156	111	126	55	36	20	15	0
EC-02C	76235	1545	77780	100352	45607	27389	2224	261	125	92	171	148	82	71	25	19	21	0
EC-02D	65147	941	66088	83077	35245	27007	2046	215	127	100	97	107	54	62	36	21	30	0
EC-02E	72025	1619	73644	96907	38075	28456	4213	415	150	106	112	116	198	82	50	31	21	0
EC-02F	75491	1514	77005	98927	42314	28328	3658	450	134	102	106	125	98	94	29	33	20	0
EC-02G	77828	1933	79761	101470	51204	21709	3608	411	133	95	125	143	212	77	45	52	14	0
EC-02H	83682	1780	85462	111814	51606	26257	4433	626	114	90	198	130	63	77	39	26	23	0
EC-02I	77852	1759	79611	104076	44098	29726	3089	236	82	72	224	112	82	57	27	21	26	0
EC-02J	79574	1809	81383	107701	46703	27771	3941	402	122	103	171	113	99	62	30	30	27	0
EC-02K	66907	1081	67988	87240	39214	23857	2794	281	137	121	97	142	81	71	35	48	29	0
EC-02L	66442	1443	67885	88034	36550	26061	2825	369	114	78	118	110	94	54	24	27	18	0
EC-02M	57190	1582	58772	77425	30947	22215	2940	512	76	52	124	108	103	59	19	19	16	0
EC-02P	17912	1040	18952	18952	9764	6471	1214	285	6	8	124	10	2	10	3	12	3	0
EC-03	531809	11796	543605	694860	281217	217423	23770	2721	1279	1028	1003	1133	796	608	386	216	229	0
EC-03A	69073	2014	71087	91768	39081	24976	3647	596	90	81	242	96	144	60	19	25	16	0
EC-03B	73354	1467	74821	93107	40384	28430	3262	384	171	139	154	154	78	90	37	31	40	0
