entity_id	valid	rejected	polled	electors	NDF	UPFA	PNF	ONF	UPF	SLLP	ULPP	I-AMI	FSP	USP	NSH	SEP	I-AP	NSSP	AACAAKO	JSP	DNM	ULGC	SLNF	__OTHER
EC-01	1296360	15334	1311694	1612660	725073	562614	943	716	978	1007	786	702	715	525	321	346	274	236	214	479	181	124	126	0
EC-01A	68649	1146	69795	89771	51537	16423	61	48	90	101	75	59	39	50	25	29	25	28	17	10	15	8	9	0
EC-01B	101497	1237	102734	131482	82495	17779	73	39	298	185	131	120	59	69	43	32	44	25	26	22	19	21	17	0
EC-01C	46990	547	47537	60109	31469	15148	37	30	36	78	37	31	22	21	7	16	7	10	15	16	5	3	2	0
EC-01D	52137	668	52805	66941	35167	16601	23	32	32	47	33	25	31	36	16	21	14	18	11	13	3	9	5	0
EC-01E	30275	325	30600	40609	23915	6164	12	13	14	21	15	12	8	19	11	12	9	22	6	8	8	2	4	0
EC-01F	47169	599	47768	59812	30955	15932	32	14	39	34	17	28	26	9	6	12	8	14	5	21	9	5	3	0
EC-01G	53004	680	53684	66793	29554	23144	30	31	26	29	25	18	29	22	9	15	11	10	10	24	7	3	7	0
EC-01H	97336	1275	98611	120617	56835	39767	80	50	129	90	86	62	46	27	22	28	21	15	18	38	8	4	10	0
EC-01I	59588	703	60291	74934	34614	24663	39	33	17	41	27	17	22	22	7	10	7	6	12	28	14	6	3	0
EC-01J	140642	1534	142176	173355	68886	70970	84	84	57	70	81	64	80	41	35	31	27	8	15	75	18	11	5	0
EC-01K	94880	1032	95912	117472	42728	51351	112	80	61	66	80	67	84	57	39	19	26	28	15	30	16	10	11	0
EC-01L	141762	1481	143243	174909	63563	77415	128	80	55	74	53	70	67	36	33	23	26	21	19	50	21	13	15	0
EC-01M	105353	1220	106573	129801	51480	53327	66	49	37	57	38	27	65	39	17	38	16	7	7	47	12	11	13	0
EC-01N	135983	1393	137376	164774	61116	74189	83	70	45	57	56	54	85	40	24	30	17	7	21	53	14	10	12	0
EC-01O	95981	958	96939	115219	48599	46885	78	57	39	49	28	45	31	30	25	27	14	14	14	24	11	4	7	0
EC-01P	25114	536	25650	26062	12160	12856	5	6	3	8	4	3	21	7	2	3	2	3	3	20	1	4	3	0
EC-02	1342496	14647	1357143	1680263	669007	664347	1249	1033	859	872	668	930	780	566	399	281	257	169	216	409	192	122	140	0
