entity_id	valid	rejected	polled	electors	SLPP	SJB	JJB	ITAK	UNP	AITC	OPPP	TMVP	SLFP	EPDP	MNA	TMTK	ACMC	NC	SLMC	UPA	AITM	IND01_D04	IND01_D06	IND05_D10	JSWP	FSP	IND11_D04	SDPT	TULF	SPS	JSP	IND01_D03	IND04_D02	IND02_D10	SJP	NEWDF	ULF	IND05_D03	LP	IND08_D06	NPP	DUNF	IND02_D19	NDF	IND10_D06	IND09_D10	IND01_D11	SLLP	IND06_D21	DLF	IND03_D05	IND10_D15	IND03_D11	IND07_D08	IND02_D15	IND08_D10	IND07_D01	IND03_D19	IND09_D02	IND17_D01	IND04_D06	IND04_D14	IND09_D17	IND02_D21	NSU	IND09_D11	IND10_D12	IND02_D06	IND02_D01	USP	IND19_D01	__OTHER
EC-01	1182776	81034	1263810	1709209	674603	387145	67600	0	30875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2343	1085	0	0	0	642	421	0	0	0	515	0	678	0	800	0	884	471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1921	0	0	1627	0	0	0	0	294	0	0	0	1204	342	1181	8145
EC-01A	63263	7113	70376	93672	16775	41059	1230	0	2676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	54	0	0	0	40	22	0	0	0	6	0	72	0	20	0	17	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	63	0	0	0	0	11	0	0	0	88	45	148	767
EC-01B	88143	8955	97098	126022	16688	64692	1912	0	2978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	23	0	0	0	31	30	0	0	0	9	0	70	0	29	0	23	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	37	0	0	0	0	12	0	0	0	181	40	166	1050
EC-01C	42335	3537	45872	61897	17680	20450	1931	0	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	20	0	0	0	17	22	0	0	0	13	0	27	0	18	0	20	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	37	0	0	0	0	21	0	0	0	31	9	69	321
EC-01D	44092	3371	47463	67241	18007	20538	2595	0	1869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	23	0	0	0	35	11	0	0	0	8	0	31	0	25	0	199	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	42	0	0	0	0	19	0	0	0	47	21	47	351
EC-01E	25489	1545	27034	41831	6294	16521	1074	0	1143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	13	0	0	0	13	9	0	0	0	4	0	11	0	17	0	14	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	13	0	0	0	0	4	0	0	0	19	7	23	209
EC-01F	41434	2529	43963	62406	18244	18611	2094	0	1706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	41	0	0	0	28	51	0	0	0	6	0	20	0	23	0	39	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	30	0	0	0	0	6	0	0	0	35	14	23	217
EC-01G	46301	3254	49555	70528	25320	15646	2901	0	1440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	57	0	0	0	37	13	0	0	0	11	0	23	0	29	0	28	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	67	0	0	0	0	16	0	0	0	83	7	34	342
EC-01H	95272	6870	102142	136028	49742	36718	4655	0	2091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	54	0	0	0	57	45	0	0	0	28	0	55	0	49	0	47	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	160	0	0	0	0	36	0	0	0	114	33	127	778
EC-01I	50313	2789	53102	75197	29436	14946	3405	0	1563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	40	0	0	0	27	17	0	0	0	11	0	17	0	39	0	57	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	58	0	0	0	0	27	0	0	0	46	10	44	235
EC-01J	128770	6845	135615	188469	90489	23793	9594	0	2679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	131	0	0	0	65	53	0	0	0	190	0	57	0	116	0	74	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	206	0	0	0	0	35	0	0	0	94	25	73	625
EC-01K	86081	6907	92988	122257	58477	20308	3761	0	1712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	102	0	0	0	54	18	0	0	0	16	0	58	0	52	0	41	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	214	0	0	0	0	21	0	0	0	116	31	129	672
EC-01L	131726	8032	139758	191627	95118	23184	8712	0	2476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	143	0	0	0	77	26	0	0	0	81	0	61	0	96	0	62	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	232	0	0	0	0	22	0	0	0	105	25	106	695
EC-01M	93317	4931	98248	136304	64309	17733	7371	0	2128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	148	0	0	0	45	39	0	0	0	59	0	48	0	103	0	72	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	96	0	0	0	0	25	0	0	0	57	22	33	590
EC-01N	126103	6760	132863	179289	89240	23687	9160	0	2098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	127	0	0	0	55	30	0	0	0	34	0	51	0	99	0	71	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	223	0	0	0	0	23	0	0	0	67	27	73	584
EC-01O	86560	5895	92455	119911	55000	23747	4404	0	1754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	43	0	0	0	52	21	0	0	0	15	0	65	0	70	0	96	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	139	0	0	0	0	6	0	0	0	106	23	78	576
EC-01P	33577	1701	35278	36530	23784	5512	2801	0	1062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	66	0	0	0	9	14	0	0	0	24	0	12	0	15	0	24	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	10	0	0	0	0	10	0	0	0	15	3	8	133
EC-02	1228474	75509	1303983	1785964	807896	285809	61833	0	28282	0	21627	0	0	0	0	0	0	0	0	0	0	0	0	0	4049	1534	0	0	0	1175	892	0	5670	0	470	0	0	0	0	0	0	539	0	537	0	0	0	557	0	0	0	0	0	0	0	0	0	0	1791	0	0	0	0	0	264	0	0	0	0	0	0	5549
EC-02A	90003	6673	96676	133103	47230	34706	3744	0	2138	0	661	0	0	0	0	0	0	0	0	0	0	0	0	0	292	93	0	0	0	95	117	0	260	0	34	0	0	0	0	0	0	20	0	33	0	0	0	44	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	22	0	0	0	0	0	0	398
EC-02B	70212	5780	75992	112012	36536	25023	3834	0	2784	0	618	0	0	0	0	0	0	0	0	0	0	0	0	0	257	99	0	0	0	67	56	0	218	0	34	0	0	0	0	0	0	26	0	30	0	0	0	35	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	20	0	0	0	0	0	0	432
EC-02C	105186	7234	112420	156287	70062	25055	5041	0	1775	0	1510	0	0	0	0	0	0	0	0	0	0	0	0	0	391	89	0	0	0	83	79	0	372	0	29	0	0	0	0	0	0	23	0	45	0	0	0	48	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	20	0	0	0	0	0	0	408
EC-02D	76163	4780	80943	111857	51251	17826	2675	0	1621	0	1474	0	0	0	0	0	0	0	0	0	0	0	0	0	234	113	0	0	0	64	74	0	185	0	13	0	0	0	0	0	0	22	0	61	0	0	0	30	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	24	0	0	0	0	0	0	362
EC-02E	84934	5476	90410	126021	55063	18034	4685	0	1916	0	3630	0	0	0	0	0	0	0	0	0	0	0	0	0	233	107	0	0	0	114	60	0	226	0	23	0	0	0	0	0	0	114	0	38	0	0	0	42	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	25	0	0	0	0	0	0	441
EC-02F	96617	5830	102447	139540	65763	20225	4757	0	1925	0	1973	0	0	0	0	0	0	0	0	0	0	0	0	0	297	97	0	0	0	125	60	0	549	0	42	0	0	0	0	0	0	26	0	58	0	0	0	47	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	14	0	0	0	0	0	0	485
EC-02G	95169	6162	101331	137300	62674	21324	4675	0	2610	0	2199	0	0	0	0	0	0	0	0	0	0	0	0	0	263	127	0	0	0	82	48	0	324	0	29	0	0	0	0	0	0	118	0	46	0	0	0	43	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	20	0	0	0	0	0	0	445
EC-02H	103508	5319	108827	153947	73455	17481	6372	0	1681	0	2140	0	0	0	0	0	0	0	0	0	0	0	0	0	399	223	0	0	0	84	53	0	821	0	58	0	0	0	0	0	0	27	0	31	0	0	0	44	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	13	0	0	0	0	0	0	502
EC-02I	104434	6258	110692	156003	67798	25723	5944	0	2022	0	1147	0	0	0	0	0	0	0	0	0	0	0	0	0	392	78	0	0	0	90	73	0	508	0	15	0	0	0	0	0	0	16	0	34	0	0	0	52	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	24	0	0	0	0	0	0	388
EC-02J	109814	6250	116064	160034	76227	21287	5789	0	2692	0	1760	0	0	0	0	0	0	0	0	0	0	0	0	0	350	150	0	0	0	106	67	0	634	0	47	0	0	0	0	0	0	26	0	42	0	0	0	49	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	21	0	0	0	0	0	0	432
EC-02K	87006	4067	91073	120061	64663	15749	2681	0	1207	0	1065	0	0	0	0	0	0	0	0	0	0	0	0	0	377	70	0	0	0	86	83	0	259	0	17	0	0	0	0	0	0	25	0	42	0	0	0	43	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	22	0	0	0	0	0	0	452
EC-02L	91288	4946	96234	130751	62301	18077	4374	0	3051	0	1711	0	0	0	0	0	0	0	0	0	0	0	0	0	306	140	0	0	0	86	48	0	557	0	80	0	0	0	0	0	0	28	0	36	0	0	0	44	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	9	0	0	0	0	0	0	347
EC-02M	64261	4090	68351	94950	39172	17684	3421	0	1501	0	1045	0	0	0	0	0	0	0	0	0	0	0	0	0	195	66	0	0	0	55	53	0	596	0	22	0	0	0	0	0	0	34	0	29	0	0	0	28	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	15	0	0	0	0	0	0	269
EC-02P	49879	2644	52523	54098	35701	7615	3841	0	1359	0	694	0	0	0	0	0	0	0	0	0	0	0	0	0	63	82	0	0	0	38	21	0	161	0	27	0	0	0	0	0	0	34	0	12	0	0	0	8	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	15	0	0	0	0	0	0	188
EC-03	700256	46415	746671	972319	448699	171988	33434	0	16485	0	0	0	10979	0	0	0	0	0	0	0	0	0	0	0	1132	1334	0	0	0	561	0	6207	0	0	430	0	0	4489	0	0	0	518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	677	0	3323
EC-03A	85862	5140	91002	120770	52533	21416	5344	0	1967	0	0	0	944	0	0	0	0	0	0	0	0	0	0	0	135	114	0	0	0	52	0	172	0	0	60	0	0	2780	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	260
EC-03B	103941	5972	109913	143708	69327	22469	5227	0	2481	0	0	0	2855	0	0	0	0	0	0	0	0	0	0	0	129	173	0	0	0	88	0	276	0	0	66	0	0	210	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	439
EC-03C	91571	5718	97289	130927	66361	17510	4267	0	1573	0	0	0	649	0	0	0	0	0	0	0	0	0	0	0	157	111	0	0	0	85	0	68	0	0	49	0	0	79	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	500
EC-03D	59524	4976	64500	83201	39321	15077	1838	0	1520	0	0	0	524	0	0	0	0	0	0	0	0	0	0	0	115	119	0	0	0	52	0	195	0	0	34	0	0	212	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	353
EC-03E	78509	6532	85041	111541	49991	19005	3328	0	2873	0	0	0	1671	0	0	0	0	0	0	0	0	0	0	0	133	212	0	0	0	72	0	516	0	0	38	0	0	174	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	367
EC-03F	85142	5253	90395	120922	52344	18582	5111	0	2251	0	0	0	1915	0	0	0	0	0	0	0	0	0	0	0	191	212	0	0	0	67	0	3614	0	0	68	0	0	335	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	363
EC-03G	88951	5891	94842	123063	47098	34029	3322	0	1236	0	0	0	525	0	0	0	0	0	0	0	0	0	0	0	119	148	0	0	0	73	0	1152	0	0	58	0	0	498	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	525
