entity_id	valid	rejected	polled	electors	UPFA	UNP	DNA	ITAK	UPF	TMVP	SMBP	TULF	AITC	DPLF	SLNF	IG4B	EDF	EPDP	ONF	UNAF	ELPP	LLF	USP	IG4J	PERLF	IG2G	JSP	UDF	IG6B	IG8B	DUA	IG3J	IG6J	ELMS	PNF	IG6G	IG5J	IG5M	SEP	SLLP	OWORS	IG8K	IG5B	IG9G	IG7G	IG9V	IG7J	IG5N	IG2M	IG4M	IG9K	IG2J	IG5G	IG5K	NPP	IG9J	IG4K	IG1A	IG1K	IG3K	MNA	OWO	IG6D	TLP	IG9M	MLF	IG1M	IG4H	IG3M	IG8D	IG7K	RJP	IG7M	IG1B	IG7T	IG6A	IG8M	IG8J	IG7A	IG6M	AITUF	J	IG1J	IG3B	IG3G	IG2K	IG6K	IG9D	IG8G	IG7C	CDUA	IG9B	IG4G	IG5A	IG8C	IG5P	IG7V	IG8R	IG2A	IG1H	IG3T	IG3A	IG2R	IG2B	IG3H	IG9N	IG7R	IG9R	IG4C	IG9C	IG3R	IG8P	IG7P	IG1G	IG6T	IG4P	IG2C	IG9P	IG8V	IG6P	IG2V	IG5T	IG7B	IG6N	IG3N	IG2P	IG1R	IG5V	IG3C	IG6V	IG2H	IG2N	IG1C	IG3P	IG4R	IG5D	IG5R	IG6C	NSU	IG4T	IG1P	IG3D	IG7N	IG4N	IG2D	IG5C	IG9T	IG4V	IG2T	IG1T	IG1N	OWOS	IG4A	IG4D	IG3V	IG1D	IG8N	IG6R	IG8T	IG1V	IG7D	JS	OORS
EC-01	938723.000000001	50353.99999999999	989728.9999999999	1542457.0	480895.9999999999	339750.00000000006	110682.99999999999	0	0	0	35.0	834.000000000001	0	0	924.0000000000003	0	0	0	373.0	292.0000000000005	1827.9999999999989	705.9999999999993	351.9999999999999	0	0	0	141.99999999999994	114.00000000000003	0	0	0	0	0	126.00000000000013	26.000000000000004	0	0	0	132.00000000000023	29.999999999999986	124.00000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	28.99999999999996	0	0	0	0	0	146.99999999999986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.0	0	0	0	0	0	0	0	74.99999999999993	27.0	0	0	0	63.000000000000036	0	0	0	0	0	0	0	0	0	0	0	0	0	44.999999999999915	43.00000000000002	0	0	0	0	0	0	38.000000000000014	0	0	0	0	0	0	0	0	0	0	0	30.999999999999996	0	0	0	26.999999999999993	0	0	0	0	20.000000000000014	0	0	0	0	0	0	0	16.0	0	0	0	0	0	14.0	0	0	0	0	0	0	0	0	0	2.0	2.0
EC-01A	50858.00000000001	4495.0	55403.99999999999	95385.0	15976.000000000002	30825.0	3225.9999999999995	0	0	0	2.9999999999999996	138.0	0	0	102.00000000000001	0	0	0	26.0	44.0	93.0	115.0	53.99999999999999	0	0	0	39.99999999999999	8.0	0	0	0	0	0	11.0	0.0	0	0	0	14.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	11.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.0	0	0	0	0	0	0	0	9.0	2.9999999999999996	0	0	0	2.9999999999999996	0	0	0	0	0	0	0	0	0	0	0	0	0	4.999999999999999	11.0	0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	2.9999999999999996	0	0	0	0	1.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0
EC-01B	80593.00000000003	6605.999999999999	87296.99999999999	139821.99999999997	21794.0	51421.00000000001	6242.999999999998	0	0	0	0.9999999999999998	89.99999999999997	0	0	23.999999999999993	0	0	0	27.999999999999993	50.99999999999999	302.00000000000006	141.99999999999997	70.0	0	0	0	20.000000000000004	19.0	0	0	0	0	0	35.0	2.999999999999999	0	0	0	5.000000000000001	1.9999999999999996	35.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9999999999999998	0	0	0	0	0	27.999999999999993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	3.999999999999999	0	0	0	5.999999999999998	0	0	0	0	0	0	0	0	0	0	0	0	0	15.000000000000002	2.999999999999999	0	0	0	0	0	0	13.999999999999996	0	0	0	0	0	0	0	0	0	0	0	3.999999999999999	0	0	0	5.999999999999998	0	0	0	0	3.999999999999999	0	0	0	0	0	0	0	2.999999999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01C	34113.0	1998.0	36160.0	58757.0	13662.0	16421.0	3618.9999999999995	0	0	0	0.0	8.0	0	0	20.0	0	0	0	7.0	14.0	89.99999999999999	78.0	21.0	0	0	0	11.0	5.0	0	0	0	0	0	6.0	1.0	0	0	0	7.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	3.0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	1.0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	8.0	0	0	0	0	0	0	0	0	0	0	0
EC-01D	38978.0	2562.0	41558.0	68643.0	14661.999999999998	19241.0	4608.0	0	0	0	2.9999999999999996	176.0	0	0	20.0	0	0	0	6.999999999999999	10.0	82.0	38.0	38.0	0	0	0	2.0	4.0	0	0	0	0	0	2.0	2.0	0	0	0	6.999999999999999	1.0	9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9999999999999996	0	0	0	0	0	8.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9999999999999996	2.0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	0	0	0	0	0	0	2.9999999999999996	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	1.0	0	0	0	0	0.0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01E	20294.0	1283.0	21594.0	38921.0	5169.0	13056.0	1675.0	0	0	0	3.0	183.0	0	0	10.0	0	0	0	7.0	19.0	39.0	67.0	13.0	0	0	0	0.0	6.0	0	0	0	0	0	0.0	1.0	0	0	0	8.0	2.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	2.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	1.0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	3.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01F	35855.0	1605.9999999999998	37474.00000000001	61193.99999999999	15472.000000000002	15831.0	4255.999999999999	0	0	0	2.0	94.0	0	0	7.000000000000002	0	0	0	11.0	11.0	53.0	48.000000000000014	13.000000000000002	0	0	0	14.999999999999996	5.0	0	0	0	0	0	0.0	3.000000000000001	0	0	0	3.000000000000001	0.0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	4.0	0	0	0	0	0	0	3.000000000000001	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0
EC-01G	40239.0	1990.0000000000005	42253.0	66622.0	19486.000000000004	15384.000000000002	5061.000000000001	0	0	0	2.0000000000000004	46.0	0	0	37.00000000000001	0	0	0	16.000000000000004	4.000000000000001	78.0	37.00000000000001	18.0	0	0	0	2.0000000000000004	3.0	0	0	0	0	0	4.000000000000001	1.0000000000000002	0	0	0	7.0	1.0000000000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000000002	2.0000000000000004	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	2.0000000000000004	0	0	0	0	0	0	1.0000000000000002	0	0	0	0	0	0	0	0	0	0	0	2.0000000000000004	0	0	0	1.0000000000000002	0	0	0	0	0.0	0	0	0	0	0	0	0	1.0000000000000002	0	0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	0
EC-01H	70548.0	3862.9999999999995	74445.99999999999	112362.99999999999	37782.000000000015	23949.000000000004	8371.0	0	0	0	4.999999999999999	6.0	0	0	50.000000000000014	0	0	0	28.0	19.999999999999996	172.99999999999997	16.000000000000004	15.000000000000002	0	0	0	7.0	4.000000000000001	0	0	0	0	0	10.999999999999996	3.0	0	0	0	9.0	0.0	8.000000000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0000000000000002	0	0	0	0	0	12.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.999999999999999	2.0000000000000004	0	0	0	8.000000000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	1.0000000000000002	0	0	0	0	0	0	4.999999999999999	0	0	0	0	0	0	0	0	0	0	0	1.0000000000000002	0	0	0	2.0000000000000004	0	0	0	0	2.0000000000000004	0	0	0	0	0	0	0	4.000000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-01I	46134.00000000001	1876.9999999999998	48036.0	73009.0	22798.999999999996	16374.000000000002	6729.000000000002	0	0	0	1.0	2.9999999999999996	0	0	20.0	0	0	0	16.999999999999996	11.999999999999998	73.00000000000001	16.0	11.999999999999998	0	0	0	5.0	6.999999999999999	0	0	0	0	0	5.999999999999999	0.0	0	0	0	2.9999999999999996	2.0	13.999999999999998	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0	0	0	0	0	0	6.999999999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	2.0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9999999999999996	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
