entity_id	valid	rejected	polled	electors	UPFA	UNP	ITAK	JHU	SLMC	UPF	EPDP	JSP	USP	CDUA	NLF	DPLF	IP1D	UMPA	ULF	IP7D	NPP	SMBP	IP9D	IP6D	S	__OTHER
EC-01	1057860	38605	1096571	1484508	414688	441841	0	190618	0	0	539	2420	894	0	2037	0	37	858	550	683	1273	203	32	40	404	625
EC-01A	57520	3431	60959	86388	12724	40387	0	3409	0	0	45	415	93	0	175	0	2	75	57	42	24	5	5	2	8	42
EC-01B	100129	5451	105593	153763	17681	71599	0	8881	0	0	66	230	204	0	225	0	3	317	117	501	49	4	7	12	98	122
EC-01C	40880	1457	42350	62722	12484	21543	0	6360	0	0	12	109	27	0	89	0	2	61	20	54	41	2	0	1	29	40
EC-01D	45573	1689	47265	67885	12141	23739	0	9116	0	0	65	91	57	0	166	0	2	40	25	5	45	10	0	1	37	27
EC-01E	25911	869	26783	40209	3613	19084	0	2824	0	0	21	44	20	0	150	0	3	22	19	4	19	2	0	3	55	24
EC-01F	42085	1173	43260	60159	12577	19865	0	9247	0	0	30	63	30	0	112	0	2	24	17	10	43	15	1	0	25	21
EC-01G	47197	1531	48733	67176	19284	18448	0	9085	0	0	26	86	31	0	71	0	0	23	20	5	50	8	4	0	27	25
EC-01H	77524	2832	80362	106335	32976	29540	0	14311	0	0	26	194	74	0	106	0	2	81	29	40	78	15	1	6	15	24
EC-01I	53357	1413	54772	74159	20070	19635	0	13192	0	0	15	140	29	0	95	0	1	30	16	9	55	14	0	0	26	24
EC-01J	105071	3316	108393	143644	53065	32772	0	18485	0	0	48	202	53	0	139	0	5	30	37	3	115	26	1	1	22	54
EC-01K	72491	3491	75991	98012	37380	28607	0	5952	0	0	34	96	71	0	133	0	1	40	43	1	72	12	4	7	2	25
EC-01L	97043	3516	100577	135242	49520	29029	0	17768	0	0	32	175	59	0	129	0	2	29	39	3	175	17	2	0	7	44
EC-01M	86321	2161	88488	118318	37919	22337	0	25385	0	0	36	177	32	0	135	0	2	22	34	0	160	28	1	0	9	38
