entity_id	timestamp	electors	polled	valid	rejected	NPP	SJB	IND16	SLPP	IND9	SLCP	IND4	IND13	IND12	JPF	IND11	IND5	APP	DUNF	NSSP	SBP	IND1	SPF	RJA	IND10	IND2	USP	JSP	DUA	IND14	SLSP	AJP	SEP	NIF	IND15	NDF	IND6	UNFF	IND7	ELPP	IND8	NSU	SLLP
EC-01A	2024-09-22 11:16:34:382	97620	71519	69243	2276	17978	32289	15692	954	585	442	183	96	109	97	107	43	27	27	47	37	53	29	56	48	31	22	22	48	28	16	14	33	22	21	13	9	15	13	14	16	5	2
EC-01B	2024-09-22 11:57:52:682	118986	91504	88982	2522	20220	46063	19397	1123	295	367	237	106	126	97	146	56	36	29	98	39	48	32	49	38	31	42	32	61	32	18	21	31	18	12	6	11	18	7	14	14	6	6
EC-01C	2024-09-22 10:20:33:332	62623	46564	45486	1078	17290	15497	10188	1101	60	659	77	71	71	41	44	23	7	32	23	31	18	14	29	14	15	13	33	16	7	4	15	14	6	11	3	6	13	8	18	1	4	9
EC-01D	2024-09-22 11:22:51:844	67112	48728	47513	1215	18523	13637	12566	825	519	706	51	55	90	41	37	24	9	16	26	34	25	26	28	8	15	28	36	16	13	5	24	26	9	17	5	7	10	8	26	11	6	5
EC-01E	2024-09-22 11:20:55:399	42048	28289	27558	731	7778	9697	8382	348	783	233	31	17	35	16	19	13	3	11	13	8	13	24	10	9	9	6	12	9	4	5	8	9	3	3	3	5	9	2	10	7	9	2
EC-01F	2024-09-22 11:35:43:138	66062	47514	46342	1172	19338	12505	11565	1163	375	753	32	42	81	23	23	22	6	46	24	25	78	46	25	7	13	9	17	12	5	11	12	11	11	19	3	2	7	8	8	7	4	4
EC-01G	2024-09-22 11:34:37:808	70250	51201	49927	1274	23282	12212	11091	1422	174	924	44	49	106	46	36	27	13	45	29	46	17	84	26	12	21	14	27	16	6	14	15	20	18	23	12	10	15	9	9	2	4	7
EC-01H	2024-09-22 11:41:02:396	142482	110673	108242	2431	49239	33127	20069	2350	58	1730	154	157	142	101	87	76	43	87	58	77	42	82	62	28	30	23	59	59	17	34	23	32	31	37	26	24	16	10	13	8	11	20
EC-01I	2024-09-22 14:14:55:316	75810	55618	54258	1360	25123	11979	13725	1239	18	1312	29	68	124	72	29	33	14	70	25	52	27	47	30	4	14	14	45	12	7	7	29	11	12	24	7	5	18	9	10	6	1	7
EC-01J	2024-09-22 14:20:58:276	198793	153789	150692	3097	84299	26538	30670	3095	24	3771	83	253	224	174	73	111	46	239	59	107	72	119	84	24	28	35	140	25	16	45	68	33	24	53	15	24	40	14	33	7	14	13
EC-01K	2024-09-22 14:29:15:255	129439	104989	102604	2385	47219	28767	19669	2929	39	1818	216	188	156	146	87	126	78	164	83	95	77	89	84	37	61	50	75	28	39	29	44	32	36	18	21	19	21	13	14	8	10	19
EC-01L	2024-09-22 14:17:43:946	207235	165417	161728	3689	91770	29912	29348	3979	27	4304	109	199	190	159	84	133	50	276	78	154	73	121	93	25	54	54	120	35	17	31	66	40	18	51	26	28	21	30	25	7	9	12
EC-01M	2024-09-22 14:13:22:378	140699	108055	105675	2380	58692	17174	22782	2424	14	3020	37	112	169	229	40	56	11	141	43	88	31	109	49	11	32	23	77	13	12	24	53	32	11	54	12	14	33	9	23	6	7	8
EC-01N	2024-09-22 14:19:01:233	190053	150341	147160	3181	83049	24312	29622	4076	29	4053	82	147	215	142	56	91	37	176	60	171	54	86	84	23	48	29	101	19	14	40	69	33	33	45	27	24	32	25	22	10	7	17
EC-01O	2024-09-22 14:18:25:307	120503	96736	94790	1946	45299	24319	19025	2843	105	1712	101	119	143	97	71	76	34	73	54	103	52	64	61	32	44	22	67	26	17	22	20	26	17	40	14	22	19	14	19	7	4	7
EC-01P	2024-09-22 02:16:08:552	35636	35249	34190	1059	20864	4080	7645	561	63	552	11	12	63	73	3	2	1	51	17	32	10	46	5	0	3	4	28	1	2	1	15	5	3	16	3	2	5	0	3	2	4	2
